paramId	name	behaviorVariationId	normalChangeTexChrId	hp	stamina	itemLotIdEnemy	teamType	lockCameraParamId	soundBankId	retargetReferenceChrId
1	Human	0	-1	291	50	-1	6	-1	-1	-1
100	NPC Param 100	0	-1	291	50	-1	6	-1	-1	-1
540	NPC Param 540	0	-1	291	50	-1	6	-1	-1	-1
541	NPC Param 541	0	-1	291	50	-1	6	-1	-1	-1
542	NPC Param 542	0	-1	291	50	-1	6	-1	-1	-1
1000	NPC Param 1000	0	-1	640	50	-1	6	-1	-1	-1
9999	NPC Param 9999	0	-1	291	50	-1	6	-1	-1	-1
1000000	BuddyStone	1000	-1	1939	50	-1	30	-1	8000	-1
1002000	Patrol Dummy	1000	-1	1939	50	-1	6	-1	-1	-1
1100000	Caravan Dummy	1100	-1	1939	50	-1	30	-1	-1	-1
1200000	Bullet Dummy	1200	-1	1939	50	-1	6	-1	-1	-1
1200020	Bullet Dummy	1200	-1	1939	50	-1	6	-1	-1	-1
1200030	Bullet Dummy	1200	-1	1939	50	-1	6	-1	-1	-1
1200041	Bullet Dummy	1200	-1	1939	50	-1	6	-1	-1	-1
1200090	NPC Param 1200090	1200	-1	1939	50	-1	48	-1	-1	-1
1200100	Bullet Dummy	1200	-1	1939	50	-1	6	-1	-1	-1
1300000	Balloon Dummy	1300	-1	39	50	-1	6	-1	-1	-1
10000000	Bonfire	0	-1	1939	50	-1	0	-1	-1	-1
10000100	Talk Dummy	0	-1	1939	50	-1	0	-1	-1	-1
10001000	BuddyStone	0	-1	1939	50	-1	0	-1	-1	-1
10003000	Talk Dummy	1000	-1	1939	50	-1	7	-1	-1	-1
10003100	Talk Dummy	1000	-1	1939	50	-1	7	-1	-1	-1
10004000	NPC Param 10004000	0	-1	1939	50	-1	0	-1	-1	-1
10005000	Talk Dummy	0	-1	1939	50	-1	0	-1	-1	-1
10006000	NPC Param 10006000	0	-1	1939	50	-1	33	-1	-1	-1
10006050	Talk Dummy	0	-1	1939	50	-1	33	-1	-1	-1
10100000	Talk Dummy	1000	-1	1939	50	-1	7	-1	-1	-1
20100000	Blaidd the Half-Wolf	20100	-1	1320	50	-1	7	-1	-1	-1
20101000	Blaidd the Half-Wolf	20100	-1	1320	50	-1	7	-1	-1	-1
20107500	Blaidd the Half-Wolf	20100	-1	3491	50	-1	2	-1	-1	-1
20108000	Blaidd the Half-Wolf	20100	-1	1320	50	-1	6	-1	-1	-1
20108500	Baleful Shadow	20100	-1	1320	50	-1	6	-1	-1	-1
