itemId	category	name	iconId	imagePath
100	Goods	Tarnished's Furled Finger	1	
101	Goods	Duelist's Furled Finger	2	
102	Goods	Bloody Finger	3	
103	Goods	Finger Severer	4	
104	Goods	White Cipher Ring	600	
105	Goods	Blue Cipher Ring	601	
106	Goods	Tarnished's Wizened Finger	5	
107	Goods	Phantom Bloody Finger	634	
108	Goods	Taunter's Tongue	7	
109	Goods	Small Golden Effigy	602	
110	Goods	Small Red Effigy	603	
111	Goods	Festering Bloody Finger	8	
112	Goods	Recusant Finger	635	
113	Goods	Phantom Festering Bloody Finger	636	
114	Goods	Phantom Recusant Finger	674	
115	Goods	Memory of Grace	9	
130	Goods	Spectral Steed Whistle	13	
135	Goods	Phantom Great Rune	626	
150	Goods	Furlcalling Finger Remedy	14	
170	Goods	Tarnished's Furled Finger	575	
171	Goods	Duelist's Furled Finger	576	
172	Goods	Bloody Finger	577	
174	Goods	White Cipher Ring	579	
175	Goods	Blue Cipher Ring	580	
178	Goods	Taunter's Tongue	578	
179	Goods	Small Golden Effigy	581	
180	Goods	Small Red Effigy	582	
181	Goods	Spectral Steed Whistle	558	
182	Goods	Furlcalling Finger Remedy	583	
183	Goods	Festering Bloody Finger	675	
184	Goods	Recusant Finger	676	
190	Goods	Rune Arc	584	
191	Goods	Godrick's Great Rune	3201	
192	Goods	Radahn's Great Rune	3204	
193	Goods	Morgott's Great Rune	3200	
194	Goods	Rykard's Great Rune	3203	
195	Goods	Mohg's Great Rune	3205	
196	Goods	Malenia's Great Rune	3206	
250	Goods	Flask of Wondrous Physick	24	
251	Goods	Flask of Wondrous Physick	23	
300	Goods	Fire Pot	25	
301	Goods	Redmane Fire Pot	26	
302	Goods	Giantsflame Fire Pot	606	
320	Goods	Lightning Pot	28	
321	Goods	Ancient Dragonbolt Pot	29	
330	Goods	Fetid Pot	30	
340	Goods	Swarm Pot	31	
350	Goods	Holy Water Pot	32	
351	Goods	Sacred Order Pot	604	
360	Goods	Freezing Pot	560	
370	Goods	Poison Pot	561	
380	Goods	Oil Pot	565	
390	Goods	Alluring Pot	86	
391	Goods	Beastlure Pot	87	
400	Goods	Roped Fire Pot	34	
420	Goods	Roped Lightning Pot	36	
430	Goods	Roped Fetid Pot	37	
440	Goods	Roped Poison Pot	566	
450	Goods	Roped Oil Pot	567	
460	Goods	Roped Magic Pot	707	
470	Goods	Roped Fly Pot	615	
480	Goods	Roped Freezing Pot	0	
490	Goods	Roped Volcano Pot	617	
510	Goods	Roped Holy Water Pot	618	
600	Goods	Volcano Pot	585	
610	Goods	Albinauric Pot	586	
630	Goods	Cursed-Blood Pot	573	
640	Goods	Sleep Pot	213	
650	Goods	Rancor Pot	196	
660	Goods	Magic Pot	197	
661	Goods	Academy Magic Pot	559	
670	Goods	Rot Pot	611	
810	Goods	Rowa Raisin	595	
811	Goods	Sweet Raisin	607	
812	Goods	Frozen Raisin	608	
820	Goods	Boiled Crab	638	
830	Goods	Boiled Prawn	639	
900	Goods	Neutralizing Boluses	43	
910	Goods	Stanching Boluses	44	
920	Goods	Thawfrost Boluses	45	
930	Goods	Stimulating Boluses	46	
940	Goods	Preserving Boluses	47	
950	Goods	Rejuvenating Boluses	950	
960	Goods	Clarifying Boluses	49	
1000	Accessories	Crimson Amber Medallion	18000	
1001	Accessories	Crimson Amber Medallion +1	18001	
1002	Accessories	Crimson Amber Medallion +2	18002	
1003	Goods	Flask of Crimson Tears +1	16	
1004	Goods	Flask of Crimson Tears +2	15	
1005	Goods	Flask of Crimson Tears +2	16	
1006	Goods	Flask of Crimson Tears +3	15	
1007	Goods	Flask of Crimson Tears +3	16	
1008	Goods	Flask of Crimson Tears +4	15	
1009	Goods	Flask of Crimson Tears +4	16	
1010	Accessories	Cerulean Amber Medallion	18010	
1011	Accessories	Cerulean Amber Medallion +1	18011	
1012	Accessories	Cerulean Amber Medallion +2	18012	
1013	Goods	Flask of Crimson Tears +6	16	
1014	Goods	Flask of Crimson Tears +7	15	
1015	Goods	Flask of Crimson Tears +7	16	
1016	Goods	Flask of Crimson Tears +8	15	
1017	Goods	Flask of Crimson Tears +8	16	
1018	Goods	Flask of Crimson Tears +9	15	
1019	Goods	Flask of Crimson Tears +9	16	
1020	Accessories	Viridian Amber Medallion	18020	
1021	Accessories	Viridian Amber Medallion +1	18021	
1022	Accessories	Viridian Amber Medallion +2	18022	
1023	Goods	Flask of Crimson Tears +11	16	
1024	Goods	Flask of Crimson Tears +12	15	
1025	Goods	Flask of Crimson Tears +12	16	
1030	Accessories	Arsenal Charm	18030	
1031	Accessories	Arsenal Charm +1	18031	
1032	Accessories	Great-Jar's Arsenal	18032	
1040	Accessories	Erdtree's Favor	18040	
1041	Accessories	Erdtree's Favor +1	18041	
1042	Accessories	Erdtree's Favor +2	18042	
1050	Accessories	Radagon's Scarseal	18050	
1051	Accessories	Radagon's Soreseal	18051	
1052	Goods	Flask of Cerulean Tears +1	19	
1053	Goods	Flask of Cerulean Tears +1	20	
1054	Goods	Flask of Cerulean Tears +2	19	
1055	Goods	Flask of Cerulean Tears +2	20	
1056	Goods	Flask of Cerulean Tears +3	19	
1057	Goods	Flask of Cerulean Tears +3	20	
1058	Goods	Flask of Cerulean Tears +4	19	
1059	Goods	Flask of Cerulean Tears +4	20	
1060	Accessories	Starscourge Heirloom	18070	
1061	Goods	Flask of Cerulean Tears +5	20	
